t,x,y,z
0,102.16,27.32,7.92
1,102.16,27.32,7.92
2,101.96,26.44,7.92
3,99.48,28.64,7.92
4,98.04,31.8,7.92
5,101.36,28.32,7.92
6,101.36,28.32,7.92
7,100.6,30,7.92
8,99.88,30.92,7.92
9,98.84,33.48,7.92
