t,x,y,z
0,91.2,31.12,9.06
1,90,31.2,9.06
2,91.16,28.6,7.92
3,92.36,29.32,7.92
4,93.12,26.12,7.92
5,95.28,26.24,7.92
6,97.12,29.08,7.92
7,97.44,29.04,7.92
8,98.92,25.4,7.92
9,96.64,25.4,7.92
